date,sex,age,NUTS,population
2019-12-31,M,0,CZ0,57478
2019-12-31,M,1,CZ0,58491
2019-12-31,M,2,CZ0,59080
2019-12-31,M,3,CZ0,58617
2019-12-31,M,4,CZ0,57863
2019-12-31,M,5,CZ0,57624
2019-12-31,M,6,CZ0,56136
2019-12-31,M,7,CZ0,56619
2019-12-31,M,8,CZ0,56610
2019-12-31,M,9,CZ0,61823
2019-12-31,M,10,CZ0,62295
2019-12-31,M,11,CZ0,63284
2019-12-31,M,12,CZ0,60832
2019-12-31,M,13,CZ0,56363
2019-12-31,M,14,CZ0,53187
2019-12-31,M,15,CZ0,50997
2019-12-31,M,16,CZ0,48975
2019-12-31,M,17,CZ0,48776
2019-12-31,M,18,CZ0,48427
2019-12-31,M,19,CZ0,48848
2019-12-31,M,20,CZ0,47680
2019-12-31,M,21,CZ0,48591
2019-12-31,M,22,CZ0,49035
2019-12-31,M,23,CZ0,49790
2019-12-31,M,24,CZ0,53140
2019-12-31,M,25,CZ0,58717
2019-12-31,M,26,CZ0,66215
2019-12-31,M,27,CZ0,67250
2019-12-31,M,28,CZ0,71495
2019-12-31,M,29,CZ0,72129
2019-12-31,M,30,CZ0,71613
2019-12-31,M,31,CZ0,74167
2019-12-31,M,32,CZ0,74217
2019-12-31,M,33,CZ0,75456
2019-12-31,M,34,CZ0,76871
2019-12-31,M,35,CZ0,77163
2019-12-31,M,36,CZ0,77109
2019-12-31,M,37,CZ0,78377
2019-12-31,M,38,CZ0,78806
2019-12-31,M,39,CZ0,83394
2019-12-31,M,40,CZ0,91245
2019-12-31,M,41,CZ0,93689
2019-12-31,M,42,CZ0,94701
2019-12-31,M,43,CZ0,97126
2019-12-31,M,44,CZ0,98175
2019-12-31,M,45,CZ0,99209
2019-12-31,M,46,CZ0,93293
2019-12-31,M,47,CZ0,84098
2019-12-31,M,48,CZ0,78968
2019-12-31,M,49,CZ0,75600
2019-12-31,M,50,CZ0,72690
2019-12-31,M,51,CZ0,68697
2019-12-31,M,52,CZ0,68558
2019-12-31,M,53,CZ0,68786
2019-12-31,M,54,CZ0,71148
2019-12-31,M,55,CZ0,74015
2019-12-31,M,56,CZ0,70552
2019-12-31,M,57,CZ0,63128
2019-12-31,M,58,CZ0,60892
2019-12-31,M,59,CZ0,59489
2019-12-31,M,60,CZ0,58046
2019-12-31,M,61,CZ0,61412
2019-12-31,M,62,CZ0,65000
2019-12-31,M,63,CZ0,66124
2019-12-31,M,64,CZ0,65838
2019-12-31,M,65,CZ0,64772
2019-12-31,M,66,CZ0,64256
2019-12-31,M,67,CZ0,63910
2019-12-31,M,68,CZ0,62476
2019-12-31,M,69,CZ0,60265
2019-12-31,M,70,CZ0,57034
2019-12-31,M,71,CZ0,57619
2019-12-31,M,72,CZ0,57343
2019-12-31,M,73,CZ0,53066
2019-12-31,M,74,CZ0,40461
2019-12-31,M,75,CZ0,41066
2019-12-31,M,76,CZ0,38222
2019-12-31,M,77,CZ0,32232
2019-12-31,M,78,CZ0,29083
2019-12-31,M,79,CZ0,26987
2019-12-31,M,80,CZ0,21884
2019-12-31,M,81,CZ0,19429
2019-12-31,M,82,CZ0,16635
2019-12-31,M,83,CZ0,14853
2019-12-31,M,84,CZ0,13531
2019-12-31,M,85,CZ0,11962
2019-12-31,M,86,CZ0,10478
2019-12-31,M,87,CZ0,9381
2019-12-31,M,88,CZ0,7857
2019-12-31,M,89,CZ0,6472
2019-12-31,M,90,CZ0,4770
2019-12-31,M,91,CZ0,3673
2019-12-31,M,92,CZ0,2715
2019-12-31,M,93,CZ0,1917
2019-12-31,M,94,CZ0,1295
2019-12-31,M,95,CZ0,845
2019-12-31,M,96,CZ0,581
2019-12-31,M,97,CZ0,382
2019-12-31,M,98,CZ0,211
2019-12-31,M,99,CZ0,116
2019-12-31,M,100+,CZ0,198
2019-12-31,M,0,CZ01,7570
2019-12-31,M,1,CZ01,7875
