date,sex,age,NUTS,population
2019-07-01,M,0,CZ0,57824
2019-07-01,M,1,CZ0,58689
2019-07-01,M,2,CZ0,58752
2019-07-01,M,3,CZ0,58156
2019-07-01,M,4,CZ0,57687
2019-07-01,M,5,CZ0,56814
2019-07-01,M,6,CZ0,56306
2019-07-01,M,7,CZ0,56529
2019-07-01,M,8,CZ0,59158
2019-07-01,M,9,CZ0,62001
2019-07-01,M,10,CZ0,62736
2019-07-01,M,11,CZ0,61989
2019-07-01,M,12,CZ0,58545
2019-07-01,M,13,CZ0,54707
2019-07-01,M,14,CZ0,52017
2019-07-01,M,15,CZ0,49892
2019-07-01,M,16,CZ0,48682
2019-07-01,M,17,CZ0,48196
2019-07-01,M,18,CZ0,48290
2019-07-01,M,19,CZ0,47998
2019-07-01,M,20,CZ0,47855
2019-07-01,M,21,CZ0,48495
2019-07-01,M,22,CZ0,48956
2019-07-01,M,23,CZ0,50968
2019-07-01,M,24,CZ0,55441
2019-07-01,M,25,CZ0,61902
2019-07-01,M,26,CZ0,66164
2019-07-01,M,27,CZ0,68828
2019-07-01,M,28,CZ0,71286
2019-07-01,M,29,CZ0,71339
2019-07-01,M,30,CZ0,72397
2019-07-01,M,31,CZ0,73717
2019-07-01,M,32,CZ0,74422
2019-07-01,M,33,CZ0,75763
2019-07-01,M,34,CZ0,76644
2019-07-01,M,35,CZ0,76781
2019-07-01,M,36,CZ0,77426
2019-07-01,M,37,CZ0,78315
2019-07-01,M,38,CZ0,80809
2019-07-01,M,39,CZ0,87111
2019-07-01,M,40,CZ0,92242
2019-07-01,M,41,CZ0,94013
2019-07-01,M,42,CZ0,95711
2019-07-01,M,43,CZ0,97488
2019-07-01,M,44,CZ0,98582
2019-07-01,M,45,CZ0,96123
2019-07-01,M,46,CZ0,88612
2019-07-01,M,47,CZ0,81451
2019-07-01,M,48,CZ0,77264
2019-07-01,M,49,CZ0,74143
2019-07-01,M,50,CZ0,70716
2019-07-01,M,51,CZ0,68696
2019-07-01,M,52,CZ0,68737
2019-07-01,M,53,CZ0,70078
2019-07-01,M,54,CZ0,72717
2019-07-01,M,55,CZ0,72476
2019-07-01,M,56,CZ0,67017
2019-07-01,M,57,CZ0,62231
2019-07-01,M,58,CZ0,60438
2019-07-01,M,59,CZ0,59060
2019-07-01,M,60,CZ0,60083
2019-07-01,M,61,CZ0,63633
2019-07-01,M,62,CZ0,66060
2019-07-01,M,63,CZ0,66553
2019-07-01,M,64,CZ0,65888
2019-07-01,M,65,CZ0,65164
2019-07-01,M,66,CZ0,64795
2019-07-01,M,67,CZ0,63935
2019-07-01,M,68,CZ0,62165
2019-07-01,M,69,CZ0,59472
2019-07-01,M,70,CZ0,58204
2019-07-01,M,71,CZ0,58422
2019-07-01,M,72,CZ0,56261
2019-07-01,M,73,CZ0,47619
2019-07-01,M,74,CZ0,41668
2019-07-01,M,75,CZ0,40572
2019-07-01,M,76,CZ0,36070
2019-07-01,M,77,CZ0,31483
2019-07-01,M,78,CZ0,28879
2019-07-01,M,79,CZ0,25198
